Source Name	Comment [ENA_SAMPLE]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [culture type]	Characteristics [environmental condition]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [strain]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Comment [INSTRUMENT_MODEL]	Comment [LIBRARY_LAYOUT]	Comment [LIBRARY_SELECTION]	Comment [LIBRARY_SOURCE]	Comment [LIBRARY_STRATEGY]	Material Type	Assay Name	Comment [ENA_EXPERIMENT]	Comment [Platform_title]	Technology Type	Protocol REF	Term Source REF	Scan Name	Comment [ENA_RUN]	Comment [FASTQ_URI]	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [environmental condition]
GSM1331390 1	SRS560143	low osmolarity conditions sample 3	SigX_empty_vector_low osmolarity	SigX_empty_vector_sample2 [growth condition]	planktonic culture	low osmolarity	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-15	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331390 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331390	SRX474154	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173954	SRR1173954	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/004/SRR1173954/SRR1173954.fastq.gz	GSM1331390_osmo.3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	low osmolarity
GSM1331389 1	SRS560142	low osmolarity conditions sample 2	SigX_wildtype_low osmolarity	SigX_wildtype_sample2 [growth condition]	planktonic culture	low osmolarity	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-15	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331389 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331389	SRX474153	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173953	SRR1173953	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/003/SRR1173953/SRR1173953.fastq.gz	GSM1331389_osmo.2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	low osmolarity
GSM1331388 1	SRS560141	low osmolarity conditions sample 1	SigX_empty_vector_low osmolarity	SigX_empty_vector_sample1 [growth condition]	planktonic culture	low osmolarity	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-15	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331388 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331388	SRX474152	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173952	SRR1173952	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/002/SRR1173952/SRR1173952.fastq.gz	GSM1331388_osmo.1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	low osmolarity
GSM1331387 1	SRS560140	iron starvation conditions sample 8	FecI_wildtype_iron starvation	FecI_wildtype_sample1 [growth condition]	planktonic culture	iron starvation	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-14	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331387 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331387	SRX474151	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173951	SRR1173951	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/001/SRR1173951/SRR1173951.fastq.gz	GSM1331387_iron.8.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	iron starvation
GSM1331386 1	SRS560139	iron starvation conditions sample 7	FecI_empty_vector_iron starvation	FecI_empty_vector_sample1 [growth condition]	planktonic culture	iron starvation	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-14	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331386 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331386	SRX474150	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173950	SRR1173950	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/000/SRR1173950/SRR1173950.fastq.gz	GSM1331386_iron.7.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	iron starvation
GSM1331385 1	SRS560138	iron starvation conditions sample 6	PvdS_wildtype_iron starvation	PvdS_wildtype_sample1 [growth condition]	planktonic culture	iron starvation	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-14	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331385 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331385	SRX474149	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173949	SRR1173949	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/009/SRR1173949/SRR1173949.fastq.gz	GSM1331385_iron.6.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	iron starvation
GSM1331384 1	SRS560137	iron starvation conditions sample 5	PvdS_empty_vector_iron starvation	PvdS_empty_vector_sample1 [growth condition]	planktonic culture	iron starvation	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-14	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331384 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331384	SRX474148	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173948	SRR1173948	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/008/SRR1173948/SRR1173948.fastq.gz	GSM1331384_iron.5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	iron starvation
GSM1331383 1	SRS560136	iron starvation conditions sample 4	FpvI_wildtype_iron starvation	FpvI_wildtype_sample1 [growth condition]	planktonic culture	iron starvation	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-14	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331383 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331383	SRX474147	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173947	SRR1173947	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/007/SRR1173947/SRR1173947.fastq.gz	GSM1331383_iron.4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	iron starvation
GSM1331382 1	SRS560135	iron starvation conditions sample 3	FpvI_empty_vector_iron starvation	FpvI_empty_vector_sample1 [growth condition]	planktonic culture	iron starvation	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-14	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331382 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331382	SRX474146	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173946	SRR1173946	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/006/SRR1173946/SRR1173946.fastq.gz	GSM1331382_iron.3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	iron starvation
GSM1331381 1	SRS560134	iron starvation conditions sample 2	FecI2_wildtype_iron starvation	FecI2_wildtype_sample1 [growth condition]	planktonic culture	iron starvation	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-14	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331381 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331381	SRX474145	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173945	SRR1173945	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/005/SRR1173945/SRR1173945.fastq.gz	GSM1331381_iron.2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	iron starvation
GSM1331380 1	SRS560133	iron starvation conditions sample 1	FecI2_empty_vector_iron starvation	FecI2_empty_vector_sample1 [growth condition]	planktonic culture	iron starvation	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-14	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331380 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331380	SRX474144	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173944	SRR1173944	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/004/SRR1173944/SRR1173944.fastq.gz	GSM1331380_iron.1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	iron starvation
GSM1331379 1	SRS560132	heat shock (50�) conditions sample 4	AlgU_wildtype_heat shock (50�)	AlgU_wildtype_sample2 [growth condition]	planktonic culture	heat shock (50�)	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-13	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331379 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331379	SRX474143	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173943	SRR1173943	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/003/SRR1173943/SRR1173943.fastq.gz	GSM1331379_heat50.4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	heat shock (50�)
GSM1331378 1	SRS560131	heat shock (50�) conditions sample 3	AlgU_empty_vector_heat shock (50�)	AlgU_empty_vector_sample2 [growth condition]	planktonic culture	heat shock (50�)	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-13	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331378 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331378	SRX474142	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173942	SRR1173942	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/002/SRR1173942/SRR1173942.fastq.gz	GSM1331378_heat50.3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	heat shock (50�)
GSM1331377 1	SRS560130	heat shock (50�) conditions sample 2	AlgU_wildtype_heat shock (50�)	AlgU_wildtype_sample1 [growth condition]	planktonic culture	heat shock (50�)	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-13	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331377 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331377	SRX474141	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173941	SRR1173941	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/001/SRR1173941/SRR1173941.fastq.gz	GSM1331377_heat50.2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	heat shock (50�)
GSM1331376 1	SRS560129	heat shock (50�) conditions sample 1	AlgU_empty_vector_heat shock (50�)	AlgU_empty_vector_sample1 [growth condition]	planktonic culture	heat shock (50�)	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-13	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331376 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331376	SRX474140	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173940	SRR1173940	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/000/SRR1173940/SRR1173940.fastq.gz	GSM1331376_heat50.1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	heat shock (50�)
GSM1331375 1	SRS560128	heat shock (42�) conditions sample 2	RpoH_wildtype_heat shock (42�)	RpoH_wildtype [growth condition]	planktonic culture	heat shock (42�)	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-12	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331375 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331375	SRX474139	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173939	SRR1173939	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/009/SRR1173939/SRR1173939.fastq.gz	GSM1331375_heat42.2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	heat shock (42�)
GSM1331374 1	SRS560127	heat shock (42�) conditions sample 1	RpoH_empty_control_heat shock (42�)	RpoH_empty_control [growth condition]	planktonic culture	heat shock (42�)	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-12	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331374 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331374	SRX474138	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173938	SRR1173938	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/008/SRR1173938/SRR1173938.fastq.gz	GSM1331374_heat42.1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	heat shock (42�)
